Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,fold_index,lr,model_name,n_epochs,optimizer,retrain_type,best_epoch,best_score_test,best_score_train,loss_test,loss_train,score_test,score_train
2022-10-07 06:56:46,24.8min,790654903a1c42c9bc060a2d8fea4660,able-elk-689,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,3,0.009388478998383954,resnet50,50,Adam,"('full',)",28,0.7233166082672244,0.8106404963995529,0.014477851800620556,0.008892019279301167,0.5996769217997324,0.8312627891876659
2022-10-07 06:31:47,25.0min,6affe27f9bd74a3bb0ff5c6ca9e8c12b,victorious-mink-42,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,2,0.009388478998383954,resnet50,50,Adam,"('full',)",48,0.6434479102260203,0.8616625488535662,0.018733467906713486,0.00899031013250351,0.6022445822805719,0.8353848884714558
2022-10-07 06:05:49,26.0min,960a2b4fdd2f4f2195b5e44cc257a918,secretive-duck-742,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,1,0.009388478998383954,resnet50,50,Adam,"('full',)",47,0.7021921268089416,0.8524678470401202,0.012801692821085453,0.007632332853972912,0.6211275885502422,0.852317869203796
2022-10-07 05:41:05,24.7min,2cec3fb2968349cf9e2362dc19cce127,nosy-mole-844,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,0,0.009388478998383954,resnet50,50,Adam,"('full',)",11,0.5676722498984025,0.8010446200025662,0.02122051827609539,0.008212603628635406,0.5003424513625572,0.8488825805867869
2022-10-07 05:16:06,25.0min,294619cc43d6401c8f3fa1207c83b978,luminous-ant-322,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,3,0.005874036661812883,resnet50,50,Adam,"('fc',)",7,0.737745159241262,0.820272547377901,0.011637360788881779,0.008043698966503143,0.7082467521606626,0.8497979802964346
2022-10-07 04:51:06,25.0min,735a24c2817842a89c50322f0175a065,skillful-sponge-425,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,2,0.005874036661812883,resnet50,50,Adam,"('fc',)",24,0.6483361457052174,0.8734151191984713,0.019496768712997437,0.007507534697651863,0.6182665049010339,0.8996120996950312
2022-10-07 04:24:35,26.5min,f35a53b2c7ae469283b674d3fc4ce29a,brawny-zebra-789,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,1,0.005874036661812883,resnet50,50,Adam,"('fc',)",48,0.6735034759369706,0.8756462641339067,0.010942784138023853,0.0067307474091649055,0.6526653536574791,0.8781333714229559
2022-10-07 03:59:28,25.1min,67d7bfabfc244f908883f69d3a887a31,aged-foal-49,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,0,0.005874036661812883,resnet50,50,Adam,"('fc',)",3,0.5675449936209607,0.8044879688340859,0.020207634195685387,0.007379853632301092,0.47173286758336724,0.8755740206513479
2022-10-07 03:46:55,12.6min,76311874ae5247cf8e826441d95ece99,bright-gnat-781,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,3,0.0462323747281437,resnet18,50,Adam,"('fc',)",34,0.6403456453030026,0.599609059358771,Infinity,Infinity,0.5973762925962401,0.5975649309934236
2022-10-07 03:32:37,14.3min,1945a4318ba14c308ac17b483718d3e1,gregarious-turtle-43,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,2,0.0462323747281437,resnet18,50,Adam,"('fc',)",13,0.5627082622593224,0.5735251019576341,Infinity,Infinity,0.5191808571570599,0.6084436364582241
2022-10-07 03:16:14,16.4min,d467d94e43c04d3d893cd32c3e87e721,delightful-dog-71,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,1,0.0462323747281437,resnet18,50,Adam,"('fc',)",34,0.6065328820345853,0.5984582459790772,Infinity,Infinity,0.5278072420211544,0.6253470802862001
2022-10-07 03:01:54,14.3min,ae7abc31f1dc44dfaddfbc1589f6978a,secretive-swan-876,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,0,0.0462323747281437,resnet18,50,Adam,"('fc',)",45,0.4935803779557045,0.609979136010841,Infinity,Infinity,0.4861216233513963,0.6213295216244368
2022-10-07 02:48:40,13.2min,5edae34d429646a7af32187f7256288e,luminous-stork-395,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,3,0.0022648350299577795,resnet18,50,Adam,"('full',)",4,0.6897797955067272,0.6217498657830562,0.014618911780416965,0.012327978387475014,0.675059714070075,0.6704380650361094
2022-10-07 02:35:56,12.7min,6c18dc7d34b240218fc250cd20ea0c38,valuable-ram-615,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,2,0.0022648350299577795,resnet18,50,Adam,"('full',)",43,0.607552553190313,0.6926357332478946,0.020828766748309135,0.011129376478493214,0.594969713911506,0.7170854619451054
2022-10-07 02:21:26,14.5min,98ad99bb36d24ff4b6f44b7912d92e0e,bustling-mule-744,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,1,0.0022648350299577795,resnet18,50,Adam,"('full',)",48,0.6782786632618443,0.6716052291949893,0.01418262254446745,0.010214411653578281,0.5999071385509377,0.6962174988089455
2022-10-07 02:06:56,14.5min,cb2a34263b4947c1905b106a731ffe9d,amazing-perch-459,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,0,0.0022648350299577795,resnet18,50,Adam,"('full',)",35,0.541501779632032,0.6826456680338385,0.026353437453508377,0.011030933819711208,0.4548155624384353,0.6941808747588276
2022-10-07 01:42:16,24.7min,04bbb8293553406a945fdabfa767eace,welcoming-mole-268,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,3,0.018076343157901215,resnet50,50,Adam,"('fc',)",41,0.6931001641322392,0.7741645692033171,0.019468672573566437,0.012565651908516884,0.5936033656219198,0.7609700512775976
2022-10-07 01:16:05,26.2min,7b9b125cd73044fcae94ef9acf71ce30,monumental-squid-971,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,2,0.018076343157901215,resnet50,50,Adam,"('fc',)",10,0.6099354557310037,0.7656997775065242,0.034975286573171616,0.012413673102855682,0.5375328026607834,0.7916860327636228
2022-10-07 00:47:33,28.5min,e8ea4ed1940941ad95b58c452a362149,rebellious-cub-626,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,1,0.018076343157901215,resnet50,50,Adam,"('fc',)",32,0.6433364516591075,0.777446924896254,0.018322765827178955,0.011407740414142609,0.5691083099989453,0.775855413991714
2022-10-07 00:18:55,28.6min,5a68df763e6245eb9d1e18e884689bd0,bustling-seal-153,LOCAL,/Users/andrey/Work/bin/miniforge3/envs/torch-nightly/lib/python3.8/site-packages/ipykernel_launcher.py,andrey,FINISHED,0,0.018076343157901215,resnet50,50,Adam,"('fc',)",2,0.5613450384601528,0.7162341329414996,0.03706730157136917,0.012626267038285732,0.39359772678687044,0.7686984189393872
